"","sample","cell_type","composition","integrate"
"301","MOCC-0005-B","Macrophages M1",0.0509277157400911,"Y"
"302","MOCC-0005-B","Macrophages M2",0.0146077319284916,"Y"
"303","MOCC-0005-B","Mast cells",1.05334393248939e-18,"Y"
"304","MOCC-0005-B","Megakaryocytes",0.00790376419821822,"Y"
"305","MOCC-0005-B","Melanocytes",1.39862569312049e-19,"Y"
"306","MOCC-0005-B","Memory B-cells",2.40882233842735e-18,"Y"
"307","MOCC-0005-B","MEP",0.0684380272762352,"Y"
"308","MOCC-0005-B","Mesangial cells",0.0160954639329313,"Y"
"309","MOCC-0005-B","Monocytes",0.0634411998186938,"Y"
"310","MOCC-0005-B","MPP",0,"Y"
"311","MOCC-0005-B","MSC",0,"Y"
"312","MOCC-0005-B","mv Endothelial cells",0.0994811030267293,"Y"
"313","MOCC-0005-B","Myocytes",0.00556276950459955,"Y"
"314","MOCC-0005-B","naive B-cells",4.84565010191091e-21,"Y"
"315","MOCC-0005-B","Neurons",0.00190653454333266,"Y"
"316","MOCC-0005-B","Neutrophils",0,"Y"
"317","MOCC-0005-B","NK cells",0,"Y"
"318","MOCC-0005-B","NKT",0.0400791596450643,"Y"
"319","MOCC-0005-B","Osteoblast",0,"Y"
"320","MOCC-0005-B","pDC",0.0374243889951165,"Y"
"321","MOCC-0005-B","Pericytes",0.261020200190174,"Y"
"322","MOCC-0005-B","Plasma cells",0.0452440659524424,"Y"
"323","MOCC-0005-B","Platelets",6.31150394815052e-19,"Y"
"324","MOCC-0005-B","Preadipocytes",0.0771350727399241,"Y"
"325","MOCC-0005-B","pro B-cells",0,"Y"
"326","MOCC-0005-B","Sebocytes",0.128537314421981,"Y"
"327","MOCC-0005-B","Skeletal muscle",4.81108697990348e-19,"Y"
"328","MOCC-0005-B","Smooth muscle",0.207892556993052,"Y"
"329","MOCC-0005-B","Tgd cells",0,"Y"
"330","MOCC-0005-B","Th1 cells",7.26964834982475e-18,"Y"
"331","MOCC-0005-B","Th2 cells",0.260355077423109,"Y"
"332","MOCC-0005-B","Tregs",0.0231408479174645,"Y"
"333","MOCC-0005-B","ImmuneScore",0.212001376204326,"Y"
"334","MOCC-0005-B","StromaScore",0.226984681361086,"Y"
"335","MOCC-0005-B","MicroenvironmentScore",0.438986057565413,"Y"
"336","MOCC-0006-B","aDC",0.293666653903277,"Y"
"337","MOCC-0006-B","Adipocytes",0.00588803112643155,"Y"
"338","MOCC-0006-B","Astrocytes",0.0278932245480785,"Y"
"339","MOCC-0006-B","B-cells",0.0319786179320096,"Y"
"340","MOCC-0006-B","Basophils",0.201654298942214,"Y"
"341","MOCC-0006-B","CD4+ memory T-cells",0.0142297096154138,"Y"
"342","MOCC-0006-B","CD4+ naive T-cells",0,"Y"
"343","MOCC-0006-B","CD4+ T-cells",6.28923552909213e-18,"Y"
"344","MOCC-0006-B","CD4+ Tcm",0,"Y"
"345","MOCC-0006-B","CD4+ Tem",1.13208706773835e-19,"Y"
"346","MOCC-0006-B","CD8+ naive T-cells",0,"Y"
"347","MOCC-0006-B","CD8+ T-cells",0,"Y"
"348","MOCC-0006-B","CD8+ Tcm",0.0331751457271952,"Y"
"349","MOCC-0006-B","CD8+ Tem",0,"Y"
"350","MOCC-0006-B","cDC",0.211064027618712,"Y"
"351","MOCC-0006-B","Chondrocytes",0.00595990724240419,"Y"
"352","MOCC-0006-B","Class-switched memory B-cells",0,"Y"
"353","MOCC-0006-B","CLP",0.0506518937101318,"Y"
"354","MOCC-0006-B","CMP",0,"Y"
"355","MOCC-0006-B","DC",0.0523975006717827,"Y"
"356","MOCC-0006-B","Endothelial cells",0.0155504928472888,"Y"
"357","MOCC-0006-B","Eosinophils",4.27609326738884e-20,"Y"
"358","MOCC-0006-B","Epithelial cells",0.567002027876236,"Y"
"359","MOCC-0006-B","Erythrocytes",0,"Y"
"360","MOCC-0006-B","Fibroblasts",0.0186324564413907,"Y"
"361","MOCC-0006-B","GMP",1.80553242427334e-17,"Y"
"362","MOCC-0006-B","Hepatocytes",0.00148658122398863,"Y"
"363","MOCC-0006-B","HSC",0.125141080224765,"Y"
"364","MOCC-0006-B","iDC",0.279940572478701,"Y"
"365","MOCC-0006-B","Keratinocytes",0.301271473870613,"Y"
"366","MOCC-0006-B","ly Endothelial cells",0.00529400768223618,"Y"
"367","MOCC-0006-B","Macrophages",0.105029346158824,"Y"
"368","MOCC-0006-B","Macrophages M1",0.0679548678018397,"Y"
"369","MOCC-0006-B","Macrophages M2",0.0168815135383804,"Y"
"370","MOCC-0006-B","Mast cells",0,"Y"
"371","MOCC-0006-B","Megakaryocytes",4.88033075411486e-20,"Y"
"372","MOCC-0006-B","Melanocytes",0.00656770885697566,"Y"
"373","MOCC-0006-B","Memory B-cells",0.00796527804134595,"Y"
"374","MOCC-0006-B","MEP",0.0582953284874021,"Y"
"375","MOCC-0006-B","Mesangial cells",0.0186133139196906,"Y"
"376","MOCC-0006-B","Monocytes",0.0274821134023873,"Y"
"377","MOCC-0006-B","MPP",5.65682008799335e-18,"Y"
"378","MOCC-0006-B","MSC",0.0258005019061658,"Y"
"379","MOCC-0006-B","mv Endothelial cells",0.01397849482016,"Y"
"380","MOCC-0006-B","Myocytes",0.00373220367553842,"Y"
"381","MOCC-0006-B","naive B-cells",0.00830194054386254,"Y"
"382","MOCC-0006-B","Neurons",0.000951314550264949,"Y"
"383","MOCC-0006-B","Neutrophils",6.72610364437623e-19,"Y"
"384","MOCC-0006-B","NK cells",0,"Y"
"385","MOCC-0006-B","NKT",0,"Y"
"386","MOCC-0006-B","Osteoblast",0.0302360947975433,"Y"
"387","MOCC-0006-B","pDC",0.0528572194367811,"Y"
"388","MOCC-0006-B","Pericytes",0.0884650268411292,"Y"
"389","MOCC-0006-B","Plasma cells",0.0439151191500163,"Y"
"390","MOCC-0006-B","Platelets",0,"Y"
"391","MOCC-0006-B","Preadipocytes",4.55330779864907e-18,"Y"
"392","MOCC-0006-B","pro B-cells",0.0190378324436917,"Y"
"393","MOCC-0006-B","Sebocytes",0.269721101657589,"Y"
"394","MOCC-0006-B","Skeletal muscle",8.43655490579776e-20,"Y"
"395","MOCC-0006-B","Smooth muscle",0.105769388941056,"Y"
"396","MOCC-0006-B","Tgd cells",0.0280526446301673,"Y"
"397","MOCC-0006-B","Th1 cells",0,"Y"
"398","MOCC-0006-B","Th2 cells",0.277956943776874,"Y"
"399","MOCC-0006-B","Tregs",9.50215895336687e-20,"Y"
"400","MOCC-0006-B","ImmuneScore",0.144591718776669,"Y"
"401","MOCC-0006-B","StromaScore",0.0200354902075556,"Y"
"402","MOCC-0006-B","MicroenvironmentScore",0.164627208984225,"Y"
"403","MOCC-0007-B","aDC",0.418022391853307,"Y"
"404","MOCC-0007-B","Adipocytes",0,"Y"
"405","MOCC-0007-B","Astrocytes",0.0268020588162007,"Y"
"406","MOCC-0007-B","B-cells",0.109168431165598,"Y"
"407","MOCC-0007-B","Basophils",0.00933647106411468,"Y"
"408","MOCC-0007-B","CD4+ memory T-cells",0.0512189606070262,"Y"
"409","MOCC-0007-B","CD4+ naive T-cells",0.034360956442827,"Y"
"410","MOCC-0007-B","CD4+ T-cells",0,"Y"
"411","MOCC-0007-B","CD4+ Tcm",1.72320901097456e-18,"Y"
"412","MOCC-0007-B","CD4+ Tem",0.0656866736088539,"Y"
"413","MOCC-0007-B","CD8+ naive T-cells",0.025193059026798,"Y"
"414","MOCC-0007-B","CD8+ T-cells",0.25420534229602,"Y"
"415","MOCC-0007-B","CD8+ Tcm",0.312381136462443,"Y"
"416","MOCC-0007-B","CD8+ Tem",0.119808151448514,"Y"
"417","MOCC-0007-B","cDC",0.0736579373877357,"Y"
"418","MOCC-0007-B","Chondrocytes",0.0255072079599725,"Y"
"419","MOCC-0007-B","Class-switched memory B-cells",0.0417827989159788,"Y"
"420","MOCC-0007-B","CLP",0.048561005752995,"Y"
"421","MOCC-0007-B","CMP",9.05274251194843e-19,"Y"
"422","MOCC-0007-B","DC",0.0574950312872502,"Y"
